iso3c,year,cap_form,cpi_harm,current_account_GDP_ameco,nulc_eur,nulc_lcu,population_ameco,rulc,unemp_rate,wage_share,sect_balance_gvnt,sect_balance_foreign,sect_balance_priv_corp,sect_balance_priv_HH,sect_balance_priv,school_agv_yrs,school_share_sec,school_share_ter,chinn_ito,chinn_ito_normed,eci_mit,eci_mit_plus,eci_harv_hs,eci_harc_coi_hs,eci_harv_sitc,eci_harc_coi_sitc,bond_yield,kof_G,kof_G_df,kof_G_dj,kof_EcG,kof_EcG_df,kof_EcG_dj,kof_trade,kof_trade_df,kof_trade_dj,kof_fin,kof_fin_df,kof_fin_dj,lmf_port_eq_asst_stock,lmf_port_eq_liab_stock,lmf_port_dbt_asst,lmf_port_dbt_liab,lmf_fdi_asst_stock,lmf_fdi_asst_other,lmf_fdi_liab_stock,lmf_fdi_liab_other,lmf_debt_asst_stock,lmf_debt_liab_stock,lmf_nfa,lmf_nfa_gdp,debt_corp_nf_percGDP,debt_corp_f_percGDP,debt_gen_gov_percGDP,debt_hh_npish_percGDI,total_debt_percGDP,debt_gen_gvt_gross,interest_long_term,average_wages,gini_post_tax,gini_pre_tax,fdi_net_inflow_GDP,fdi_net_outflow_GDP,tax_rev_total_GDP,tax_rev_trade_TAX,tax_rev_inc_profits_TAX,trade_total_GDP,trade_exp_GDP,trade_imp_GDP,RD_expend_GDP,RD_scientists,wgi_accountability,wgi_regul_quality,wgi_rule_of_law,wgi_pol_stability,wgi_gov_effectvn,wgi_control_corrupt,empl_ind,empl_agr,empl_serv,empl_self,unemp_youth_neet,VA_industry_gdp,VA_manufct_gdp,current_account_GDP_WB,population,res_rents,gdp_real_lcu,gdp_real_lcu_growth,gdp_real_pc_lcu,gdp_real_pc_lcu_growth,gdp_real_usd,gdp_real_pc_usd,gdp_nom_lcu,gdp_nom_pc_lcu,gdp_nom_usd,gdp_nom_pc_usd,gdp_real_ppp,gdp_real_pc_ppp,gdp_nom_ppp,gdp_nom_pc_ppp,unemp_rate_wb,labor_force_total,cpi_wb,cpi_change_wb,interest_real,sect_agric_employees_abs,sect_mining_employees_abs,sect_manufact_employees_abs,sect_ict_employees_abs,sect_finance_employees_abs,sect_agric_employees_share_indus,sect_mining_employees_share_indus,sect_manufact_employees_share_indus,sect_ict_employees_share_indus,sect_finance_employees_share_indus,sect_total_employees,sect_agric_engaged_abs,sect_mining_engaged_abs,sect_manufact_engaged_abs,sect_ict_engaged_abs,sect_finance_engaged_abs,sect_agric_engaged_share_indus,sect_mining_engaged_share_indus,sect_manufact_engaged_share_indus,sect_ict_engaged_share_indus,sect_finance_engaged_share_indus,sect_total_engaged,sect_agric_GO_abs,sect_mining_GO_abs,sect_manufact_GO_abs,sect_ict_GO_abs,sect_finance_GO_abs,sect_agric_GO_share_indus,sect_mining_GO_share_indus,sect_manufact_GO_share_indus,sect_ict_GO_share_indus,sect_finance_GO_share_indus,sect_total_GO,sect_agric_VA_abs,sect_mining_VA_abs,sect_manufact_VA_abs,sect_ict_VA_abs,sect_finance_VA_abs,sect_agric_VA_share_indus,sect_mining_VA_share_indus,sect_manufact_VA_share_indus,sect_ict_VA_share_indus,sect_finance_VA_share_indus,sect_total_VA
BEL,1989,34.4097,,1.9098935,61.5954359,66.2383141,9940,99.2178009,7.4,59.4527677,,-1.9098935,4.19241587081855,4.88560058359973,9.07801645441828,,,,0.442883759737015,0.551072120666504,1.48931,1.39009,,,1.4224365,1.7397057,8.66,80.8502578735352,85.2100143432617,76.2604141235352,79.1972885131836,79.0055236816406,79.4230041503906,78.0549392700195,75.2305145263672,82.0942840576172,80.1678466796875,82.7805328369141,77.5551605224609,27629,4754,59256,48406,34676,,52824,,246253,270805,-9061,-5.7,,,,,,,8.539166,,23.5,43.4,,3.92867128024793,,,,124.011913158749,62.9040511996159,61.107861959133,,,,,,,,,,,,,,,,,9937697,0.0446925872312403,241564560400,3.46916683249077,24307.9015590836,3.09399897534286,319934011562.337,32193.9793055008,161269772400,16228.0830659256,165100094594.595,16613.516652258,,,,,,,64.2276735089356,3.10705065111097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,1990,39.1773,,1.4778898,65.8357855,69.2398663,9968,100.8767395,6.6,60.4468281,,-1.4778898,2.38825953259533,5.37479704797048,7.76305658056581,9.43,22.73,12.98,2.35999751091003,1,1.45983,1.3401,,,1.372618,1.7675536,10.01,81.1096496582031,84.7353973388672,77.2925796508789,80.0569915771484,78.2935028076172,82.1325988769531,77.8651657104492,74.9219207763672,82.0743560791016,81.9192047119141,81.6650924682617,82.1733245849609,33858,5616,72493,58420,40636,,58388,,302267,327959,-3051,-1.5,,,,,,,10.00667,41140.9385689379,23.5,43.8,,3.05886463188608,,,,120.56967271465,60.9713541770479,59.5983185376022,,,,,,,,,,,,,,,,,9967379,0.0453214549092389,249143412900,3.13740247636093,24995.880351294,2.83026813539693,329971629163.815,33105.1552433006,171007309100,17156.6977738079,206430841501.69,20710.6443430806,305478440213.608,30647.8202758827,186978038235.921,18758.9975494983,,3948867,66.4424441972296,3.44831217961809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,1991,38.5077,63.721246,2.0208041,70.0276347,73.2971036,10006,103.8018092,6.4,62.1995729,,-2.0208041,2.13947518173033,6.76064879568965,8.90012397741998,,,,2.35999751091003,1,1.43235,1.33852,,,1.525807,1.6969825,9.29,83.1832580566406,84.3718719482422,81.9318084716797,80.7490386962891,78.6793975830078,83.1855773925781,77.898681640625,74.7496566772461,82.4048233032227,83.170166015625,82.6091384887695,83.731185913086,38727,5980,77838,72306,48385,,70163,,315382,332683,5848,2.9,,,,,,,9.285833,42776.7052461695,23.5,44.3,,2.96304795738319,,,,117.712773234039,59.601747307917,58.1110259261217,,,,,,,,,30.9340000152588,2.9210000038147,66.1449966430664,17.2609996795654,,,,,10004486,0.0291479419734962,253710396700,1.83307427109585,25359.6633250324,1.45537171976262,336020254199.932,33586.9583104952,179151411700,17907.1080413327,211637816538.689,21154.2918385501,311078086904.908,31093.8599849016,196844590909.291,19675.6326021437,6.98600006103516,4037587,68.5787752099332,3.21531069260804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,1992,40.5104,65.1552823,2.6918732,73.6181001,75.9053037,10047,103.9361674,7.1,62.2800824,,-2.6918732,2.75522597476624,7.37301456805551,10.1282405428218,,,,2.35999751091003,1,1.50294,1.3413,,,1.5033501,1.569514,8.65,84.6078720092774,85.9450988769531,83.1998825073242,80.8802795410156,78.3086013793945,83.9085311889649,78.0801315307617,74.0973663330078,83.7824401855469,83.2582168579102,82.5198364257813,83.9965972900391,42616,5937,81525,74593,55636,,75678,,318867,335051,14254,6.3,,,,,,,8.653334,43919.4479734754,23.6,44.7,,4.83268855910153,,,,114.215711339517,58.1958342713121,56.0198770682048,,,,,,,,,30.625,2.89599990844727,66.4800033569336,17.8589992523193,,,,,10045158,0.0233224554486716,257593827100,1.53065481372133,25643.581425001,1.11956573054475,341163564395.922,33962.9863856718,188122592400,18727.6887431736,236038384441.656,23497.7274067423,315839618616.551,31441.9761855962,204412200671.513,20349.3265781895,6.70100021362305,4076552,70.2438374721883,2.42795567164621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,1993,41.3659,66.774886,4.4021895,79.4061772,79.6648286,10086,104.8953236,8.6,62.8548229,,-4.4021895,2.65446172120592,8.39321285454571,11.0476745757516,,,,2.35999751091003,1,1.53536,1.32935,,,1.4963199,1.4291921,7.23,85.3006134033203,86.9317321777344,83.5832595825195,81.7068099975586,79.1822891235352,84.6789474487305,79.0501861572266,75.0127182006836,84.8280944824219,83.9633102416992,83.3518676757813,84.5747451782227,59319,8253,86375,85350,62642,,94295,,324619,335143,20304,9.4,,,,,,,7.228333,44547.8807641453,24.3,44.8,,2.17044016692686,,,,108.201663534969,55.5228054513972,52.6788580835718,,,,,,,,,29.4580001831055,2.63199996948242,67.911003112793,17.9120006561279,,,,,10084475,0.0251780719723034,255116101400,-0.961873088301189,25297.9060784027,-1.3479994891091,337882003882.909,33505.1655027068,193753005500,19212.9987431175,225924679920.709,22403.2168180008,312801642322.885,31018.1385072485,207242414243.082,20550.6398938053,8.07699966430664,4100442,72.1786523002943,2.75442643473457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,1994,43.4063,68.3721746,5.565525,81.6490357,80.2658158,10116,103.5186519,9.8,62.029901,,-5.565525,2.61192607106922,7.37812751248116,9.99005358355038,,,,2.35999751091003,1,1.50225,1.30034,,,1.5210304,1.4616555,7.75,85.7898712158203,87.1360855102539,84.3724212646484,82.2809982299805,79.9801559448242,84.9901351928711,79.3849792480469,75.632080078125,84.7572174072266,84.7405395507813,84.3282241821289,85.1528396606445,59804,9737,101453,94071,69541,,105881,,380652,379992,28262,12.0,,,,,,,7.750834,45188.764767722,25.1,44.9,,0.557030135127001,,,,112.388936950299,57.8158656842799,54.5730712660193,,,,,,,,,28.8780002593994,2.88800001144409,68.234001159668,17.7220001220703,,,,,10115603,0.0231540687841815,263348625200,3.22697146703889,26033.9027935359,2.90931871140722,348785359740.469,34479.937551965,204194082200,20186.0514098863,246194938750.904,24338.1377018161,322895662069.073,31920.5550147701,218498291340.925,21600.1252066659,9.64700031280518,4163102,73.894729239934,2.37754084476403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,1995,47.2368,69.2412876,4.5172903,84.1740129,80.4431376,10137,102.4961024,9.7,61.4171742,-4.4458873,-4.5172903,2.42023336462986,6.4314188256982,8.85165219032806,10,30.12,14.51,2.35999751091003,1,1.50236,1.27696,1.5407519,1.1376324,1.5099908,1.3099939,7.48,85.7336120605469,86.8606872558594,84.5465927124024,82.5116882324219,80.1853103637695,85.2534484863281,79.7325668334961,76.0418243408203,85.0278015136719,84.8697662353516,84.3288040161133,85.4107208251953,63767,10012,126806,96713,80690,,112960,,433461,430561,40646,14.3,110.2454,306.6125,140.3708,61.51244,606.2977,140.3708,7.480834,44785.9839510677,25.5,45.3,,4.00701289790271,25.485998682518,,35.7285682583042,115.511365408443,59.487665854818,56.023699553625,,,,,,,,,28.2530002593994,2.67799997329712,69.0690002441406,17.9419994354248,,26.1428494469695,18.4468267492314,,10136811,0.0209515682091138,269628850600,2.3847572377606,26598.9817310395,2.17055023207622,357103043851.13,35228.3419165189,211615800000,20875.9737159941,289567323481.117,28565.9191516066,330595939740.681,32613.4066957232,228399756075.185,22531.7169349596,9.33899974822998,4194918,74.9794794731931,1.46796699090272,,14.706,4.16125,645.30675,65.24525,126.699,0.463965240150756,0.131284873900267,20.3590304117132,2.0584474421968,3.99727539520336,3169.634,89.31175,4.23475,677.7445,69.36575,141.9675,2.30906565208691,0.109485210738509,17.5224037804748,1.79338184232475,3.6704272166053,3867.874,7054.6,700.4,134938.5,10471.6,20002.1,1.69045012853421,0.167832516375891,32.3344774571505,2.50924468658164,4.79297940577129,417320.8,2751.7,331,39036.4,5887.6,11702.6,1.44045814913403,0.173271667464973,20.4347496067361,3.08203706757333,6.12606953376311,191029.5
BEL,1996,47.2117,70.4758333,3.7800358,83.0199037,80.8768982,10157,102.593179,9.5,61.4753439,-3.9313261,-3.7800358,2.17571796631212,5.47886601496046,7.65458398127258,,,,2.10270380973816,0.939749896526337,1.43024,1.22834,1.5455458,1.0348318,1.5543276,1.0324037,6.49,86.0833129882813,87.1418991088867,84.9679489135742,83.8262100219727,81.16162109375,86.9713287353516,80.9563140869141,76.7897109985352,86.9562301635742,86.2576751708984,85.5335388183594,86.9818115234375,64571,11173,130308,86324,87311,,123883,,433145,406478,60867,22.1,115.0647,327.0513,142.2443,64.67738,636.0541,142.2443,6.4925,45265.4249212295,25.7,45.2,,2.85263435990338,25.8303603183071,,35.2186523625897,118.060093802792,60.442784742598,57.6173090601938,1.72963,2461.70357,1.4333,1.214232,1.366947,1.288753,1.711544,1.359654,27.6340007781982,2.74499988555908,69.6210021972656,17.9899997711182,,25.8550428262351,18.2436149639904,,10156637,0.0224270847074545,273925133700,1.59340630293812,26970.0624035298,1.39509352742375,362793146259.837,35719.8102344149,215942400000,21261.2107728178,281358175895.766,27701.903287059,335863676281.766,33068.3942216076,232496624669.734,22891.1030954177,9.48299980163574,4197481,76.536819062657,2.07702107350668,,14.40225,4.09575,634.82625,67.48475,127.09,0.453798479729011,0.129052413570803,20.0026514705736,2.12636754360551,4.00446102440661,3173.7105,86.74575,4.1665,666.919,71.80525,141.77425,2.23680319763782,0.107436278122651,17.1969987205761,1.85155137637502,3.65575369101891,3878.11275,7273.6,687.3,135121.9,11238.1,20903.4,1.70008949684728,0.160645555321042,31.582616996267,2.62672896152103,4.88584068252273,427836.3,2852.6,313.3,39395.7,6116.3,12041,1.47005925380811,0.161456062615887,20.3021851452177,3.15197483491079,6.20521050098275,194046.6
BEL,1997,49.3654,71.535,4.5671812,80.5410087,80.9269436,10181,101.7417405,9.2,60.9651494,-2.1249403,-4.5671812,2.48317519012535,4.35985239077936,6.84302758090471,,,,1.84541034698486,0.879499852657318,1.46882,1.2114,1.4499028,1.2144966,1.3903958,1.194405,5.75,86.6882247924805,87.5889434814453,85.7390594482422,85.5837173461914,82.7591934204102,88.9188690185547,83.2640533447266,78.2428512573242,90.5014190673828,87.5482330322266,87.2755432128906,87.820915222168,64661,12099,135081,77324,94734,,128728,,425555,386171,74743,29.9,128.1983,326.5815,136.8281,67.47659,644.5284,136.8281,5.753334,45899.6301823603,25.7,45.4,,2.84604903953512,26.3474985694921,,35.753113538498,124.366693263271,63.8967697738669,60.4699234894036,1.79476,2568.80419,,,,,,,27.5459995269775,2.65700006484985,69.7969970703125,17.2189998626709,,26.1467628038751,18.4732664302622,,10181245,0.0201645853412855,284088975000,3.710444953595,27903.1665577245,3.45977751268593,376254386247.224,36955.6361964793,225968700000,22194.6039015857,254813599458.728,25027.7445890682,348325713109.322,34212.4870886931,243611797187.727,23927.5056427506,8.95600032806396,4218297,77.782961314864,1.62816049512961,,14.7205,4.0045,626.101,71.28825,126.926,0.460185246405667,0.12518676806029,19.5728706878051,2.22857925288399,3.96790004315653,3198.8205,84.78775,4.07325,657.3655,75.88775,141.10525,2.17154981673621,0.104322443879225,16.8361813004084,1.94360658945453,3.61393101925711,3904.481,7440.4,789.5,144360.9,12764.9,21474.4,1.63926913677732,0.173942662153337,31.8055975387609,2.81236312618257,4.73124041057078,453885.2,3005.4,344.4,41743.8,6720.7,11792.7,1.48397520091486,0.170054255405296,20.6118200545517,3.31847745151676,5.82287693878639,202523.6
BEL,1998,51.0826,72.1841667,4.3815589,81.2838596,81.8496644,10203,101.1212669,9.3,60.5933525,-0.9479738,-4.3815589,0.980428447630982,4.28155620809332,5.2619846557243,,,,1.58811676502228,0.819249749183655,1.48359,1.17263,1.4653299,1.0452416,1.4133208,1.1393168,4.75,86.1008911132813,85.9687728881836,86.2400817871094,86.7646713256836,83.829704284668,90.2277908325195,84.1251602172852,78.4094696044922,92.3494491577148,89.0016250610352,89.2499465942383,88.7533111572266,94142,17843,155918,73412,134982,,180492,,450962,403774,96723,37.8,118.9606,327.1947,138.0175,66.94059,636.3507,138.0175,4.751667,45822.2639439387,26.3,44.6,,11.0687215723,26.9469093725265,,36.844192203402,123.484495687655,63.3972679385354,60.0872277491198,1.82362,2695.24276,1.342847,1.054902,1.254698,1.024162,1.83851,1.355769,27.2450008392334,2.23799991607666,70.5169982910156,17.371000289917,,25.62262889271,18.2423868691831,,10203008,0.0231222659087961,289700511700,1.97527436606788,28393.6376115749,1.75776126639877,383686442689.972,37605.2280552923,234489600000,22982.3989160844,260601911535.897,25541.6747233656,355206101630.793,34813.8609350099,250626433550.588,24563.9750111524,9.32299995422363,4255095,78.521316299433,0.949250288350641,,15.35275,3.85475,626.25425,74.86975,130.4595,0.469782413425966,0.117952403195111,19.1629013032367,2.2909571150184,3.99196096883912,3268.0555,84.08275,3.92675,656.64275,79.8625,144.22975,2.1163560048442,0.0988359793420407,16.527644814185,2.01013265428248,3.63025112154013,3972.9965,7168.1,749.4,148212.5,15205.2,22524.9,1.51115462366176,0.157985976056713,31.2456584952036,3.20550889129641,4.74862331475828,474345.9,2921.6,338.1,42776.5,7660.6,11641.9,1.39033040810024,0.160894958577043,20.3564720365894,3.64552475502898,5.54014498153824,210137.1
BEL,1999,54.3682,73.0033333,4.8069002,82.9093026,82.9093026,10226,101.8513043,8.4,61.0308017,-0.5508832,-4.8069002,0.932374112502354,4.42213359756946,5.35450771007182,,,,1.58811676502228,0.819249749183655,1.45589,1.18313,1.4444587,1.2122818,1.384813,1.1706934,4.75,86.7550048828125,85.8906784057617,87.6650238037109,87.3373031616211,83.9092254638672,91.3734436035156,84.7031631469727,78.3890075683594,93.7402725219727,89.5746002197266,89.429443359375,89.7197570800781,125274,15471,187358,96643,151795,,179924,,468772,418717,142666,56.0,132.5412,341.6056,126.6721,68.83,653.1564,126.6721,4.749166,48270.3617036288,26.6,43.9,,47.0034712587521,26.7973925790047,,35.80434383367,123.99724026107,63.8987249514794,60.0985153095903,1.89068,2899.1808,,,,,,,25.7709999084473,2.39299988746643,71.8359985351563,17.2700004577637,,24.7976464422297,17.407892689558,,10226419,0.0226160948593874,300023443500,3.56331155213489,29338.0745987427,3.32622751648692,397358386026.319,38856.0634985051,2.44226e+11,23881.869107847,260202429149.798,25444.1392583071,367863201684.091,35971.8491569817,262228511791.511,25642.2616549851,8.64900016784668,4367000,79.4014210866289,1.12084823417844,,15.89025,3.753,618.587,79.493,128.9555,0.478225723203454,0.112948577850101,18.6167124771011,2.39238510499282,3.88098596614673,3322.751,82.928,3.824,648.43725,84.854,142.2605,2.05891128436844,0.094941114598506,16.0992037819535,2.10672942943034,3.53200063633388,4027.75975,6663,779.6,150976.4,17539.1,24426.5,1.33952830831627,0.15673064222773,30.3522680005525,3.52605747446945,4.91069911797801,497413.9,2608.4,334.9,42514.6,8448.6,12964.6,1.19573159942166,0.153523429169727,19.4893615460712,3.87297116656719,5.94317661933066,218142.6
